task_name,model,attention_type,initialization,pretrained,epochs,batch_size,backbone_lr,classifier_lr,lr,optimizer,weight_decay,best_val_acc,test_acc,test_loss,final_train_acc,final_val_acc,final_train_loss,final_val_loss,best_epoch,device,seed,status,output_folder
task1_baseline,resnet18,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,92.15686274509804,89.85200845665962,0.3883585072491166,96.86274509803921,91.66666666666667,0.13224561652716468,0.32948167478190915,23,mps,42,ok,task1_resnet18
task1_baseline,resnet34,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,95.68627450980392,91.17647058823529,0.1475096446334147,0.38650848377569047,7,mps,42,ok,task1_resnet34
task2_hparam,resnet18,none,pretrained,True,10,32,0.0001,0.001,,adamw,0.0001,91.17647058823529,89.18523337127988,0.4721385388500149,94.70588235294117,91.17647058823529,0.259784596340329,0.39608091118873334,10,mps,42,ok,task2_resnet18_epoch10_blr1e-4_clr1e-3_bs32
task2_hparam,resnet18,none,pretrained,True,30,16,0.0001,0.001,,adamw,0.0001,91.76470588235294,87.39632460562693,0.5228666597012674,94.80392156862744,89.90196078431373,0.20255474243678298,0.4404856855981052,27,mps,42,ok,task2_resnet18_epoch30_blr1e-4_clr1e-3_bs16
task2_hparam,resnet18,none,pretrained,True,30,32,1e-05,0.0001,,adamw,0.0001,89.2156862745098,85.5911530330135,0.9258225155683198,91.66666666666667,88.82352941176471,0.8187286016987819,0.7909275729282229,28,mps,42,ok,task2_resnet18_epoch30_blr1e-5_clr1e-4_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,5e-05,0.0005,,adamw,0.0001,94.11764705882354,90.61636038380225,0.4019298044363984,97.6470588235294,93.13725490196079,0.138932338941331,0.3178270608917171,24,mps,42,ok,task2_resnet18_epoch30_blr5e-5_clr5e-4_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,92.15686274509804,89.85200845665962,0.3883585072491166,96.86274509803921,91.66666666666667,0.13224561652716468,0.32948167478190915,23,mps,42,ok,task2_resnet18_epoch30_blr1e-4_clr1e-3_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,0.0002,0.002,,adamw,0.0001,89.31372549019608,85.63994145389495,0.6197399225268937,93.92156862745098,85.49019607843137,0.215784568529503,0.6808035992706816,24,mps,42,ok,task2_resnet18_epoch30_blr2e-4_clr2e-3_bs32
task2_hparam,resnet18,none,pretrained,True,50,32,0.0001,0.001,,adamw,0.0001,92.25490196078431,89.73816880793625,0.41225721859757103,97.15686274509804,89.11764705882354,0.1131032170326102,0.396751459074371,32,mps,42,ok,task2_resnet18_epoch50_blr1e-4_clr1e-3_bs32
task2_hparam,resnet34,none,pretrained,True,10,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,94.50980392156863,90.09803921568627,0.23903429543270785,0.4282018257706773,7,mps,42,ok,task2_resnet34_epoch10_blr1e-4_clr1e-3_bs32
task2_hparam,resnet34,none,pretrained,True,30,16,0.0001,0.001,,adamw,0.0001,91.17647058823529,88.77866319726785,0.46518115419892786,93.52941176470588,89.01960784313725,0.22224799709065873,0.5897776310112128,27,mps,42,ok,task2_resnet34_epoch30_blr1e-4_clr1e-3_bs16
task2_hparam,resnet34,none,pretrained,True,30,32,1e-05,0.0001,,adamw,0.0001,90.98039215686275,88.06309969100667,0.6603945252017716,94.01960784313725,90.3921568627451,0.49093762916677136,0.5545173420625574,29,mps,42,ok,task2_resnet34_epoch30_blr1e-5_clr1e-4_bs32
task2_hparam,resnet34,none,pretrained,True,30,32,5e-05,0.0005,,adamw,0.0001,93.52941176470588,91.59212880143113,0.3442109603308181,96.96078431372548,91.56862745098039,0.13271406012422898,0.32373620794684277,23,mps,42,ok,task2_resnet34_epoch30_blr5e-5_clr5e-4_bs32
task2_hparam,resnet34,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,95.68627450980392,91.17647058823529,0.1475096446334147,0.38650848377569047,7,mps,42,ok,task2_resnet34_epoch30_blr1e-4_clr1e-3_bs32
task2_hparam,resnet34,none,pretrained,True,30,32,0.0002,0.002,,adamw,0.0001,87.84313725490196,85.8513579443812,0.5717209007022545,92.74509803921569,78.72549019607843,0.31137770653939717,1.1967753772642098,15,mps,42,ok,task2_resnet34_epoch30_blr2e-4_clr2e-3_bs32
task2_hparam,resnet34,none,pretrained,True,50,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,96.76470588235294,89.31372549019608,0.12643026375376126,0.37183356370192533,7,mps,42,ok,task2_resnet34_epoch50_blr1e-4_clr1e-3_bs32
task3_ablation,resnet18,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,92.15686274509804,89.85200845665962,0.3883585072491166,96.86274509803921,91.66666666666667,0.13224561652716468,0.32948167478190915,23,mps,42,ok,task3_resnet18_pretrained
task3_ablation,resnet18,none,scratch,False,30,32,0.001,0.001,,adamw,0.0001,32.15686274509804,28.41112375996097,2.9246085749775204,30.686274509803923,30.58823529411765,2.6016774093403536,2.824164786525801,28,mps,42,ok,task3_resnet18_scratch
task3_ablation,resnet34,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,95.68627450980392,91.17647058823529,0.1475096446334147,0.38650848377569047,7,mps,42,ok,task3_resnet34_pretrained
task3_ablation,resnet34,none,scratch,False,30,32,0.001,0.001,,adamw,0.0001,25.980392156862745,21.01154659294194,3.2472875785160733,21.666666666666668,25.980392156862745,2.9405966768077776,3.0081781976363238,30,mps,42,ok,task3_resnet34_scratch
task4_attention,resnet18,cbam,pretrained,True,30,32,0.0001,0.001,0.0001,adamw,0.0001,85.29411764705883,81.36282322328834,0.7341717098597095,93.43137254901961,82.54901960784314,0.2607187776004567,0.6648616757755186,24,mps,42,ok,task4_resnet18_cbam
task4_attention,resnet18,se,pretrained,True,30,32,0.0001,0.001,0.0001,adamw,0.0001,90.7843137254902,87.8679460074809,0.48021910373354143,95.3921568627451,88.72549019607843,0.16286291065169314,0.4108632418454862,22,mps,42,ok,task4_resnet18_se
task4_attention,resnet34,cbam,pretrained,True,30,32,0.0001,0.001,0.0001,adamw,0.0001,88.23529411764706,83.76971865343958,0.6612460876559509,96.27450980392157,83.43137254901961,0.1542163044798608,0.6566782305711041,27,mps,42,ok,task4_resnet34_cbam
task4_attention,resnet34,se,pretrained,True,30,32,0.0001,0.001,0.0001,adamw,0.0001,90.19607843137256,87.23369653602212,0.5094288500818909,95.0,87.84313725490196,0.18006513107056712,0.5059127550499112,19,mps,42,ok,task4_resnet34_se
task4_attention,vit_tiny,none,pretrained,True,30,8,0.0001,0.001,0.0001,adamw,0.0001,91.27450980392157,87.57521548219222,0.4782285780065364,97.25490196078431,90.0,0.1326900420655661,0.35965558562939076,16,mps,42,ok,task4_vit_tiny
task4_attention,swin_t,none,pretrained,True,30,32,0.0001,0.001,0.0001,adamw,0.0001,94.50980392156863,92.24264107985039,0.28519428198434504,98.43137254901961,94.2156862745098,0.1011995777341665,0.2153090174437738,29,mps,42,ok,task4_swin_t
